Rank,Airport,Total,Change,RefId
1,"LONDON, GB (LHR)",4681110,4,507
2,"HONG KONG, HK (HKG)",4212000,10.3,3077
3,"DUBAI, AE (DXB)",4189617,10.7,2188
4,"PARIS, FR (CDG)",3928280,3.5,1382
5,"SINGAPORE, SG (SIN)",3692958,12.6,3316
6,"FRANKFURT, DE (FRA)",3385070,6,340
7,"AMSTERDAM, NL (AMS)",3257275,11,580
8,"BANGKOK, TH (BKK)",3248780,6.9,3885
9,"INCHEON, KR (ICN)",2978134,10.3,3930
10,"TOKYO, JP (NRT)",2370536,-9.2,2279
11,"MADRID, ES (MAD)",2312805,7.4,1229
12,"KUALA LUMPUR, MY (KUL)",2098588,16.8,3304
13,"LONDON, GB (LGW)",1851101,11.8,502
14,"MUNICH, DE (MUC)",1835561,21.5,346
15,"TAIPEI, TW (TPE)",1774074,2.4,2276
16,"TORONTO ON, CA (YYZ)",1701110,9,193
17,"NEW YORK NY, US (JFK)",1700922,4.3,3797
18,"ZURICH, CH (ZRH)",1629126,5.3,1678
19,"MIAMI FL, US (MIA)",1553297,7.2,3576
20,"ROME, IT (FCO)",1518269,7.6,1555
21,"ISTANBUL, TR (IST)",1455359,9.8,1701
22,"MILAN, IT (MXP)",1322326,7,1524
23,"LOS ANGELES CA, US (LAX)",1313944,-0.6,3484
24,"COPENHAGEN, DK (CPH)",1309194,8.3,609
25,"VIENNA, AT (VIE)",1218206,6.6,1613
26,"SHANGHAI, CN (PVG)",1196517,22.7,3406
27,"DUBLIN, IE (DUB)",1182710,2.3,599
28,"BEIJING, CN (PEK)",1178161,17.9,3364
29,"BARCELONA, ES (BCN)",1176876,25.8,1218
30,"MANILA, PH (MNL)",1150818,7.4,2397
