type,address,label
airswap,0x4572f2554421bd64bef1c22c8a81840e8d496bea,AirSwap
airswap,0x27054b13b1b798b345b591a4d22e6562d47ea75a,AirSwap Token
airswap,0x072073f78a2d58610ee3d5e170ca7ac9cb58a345,AirSwap: Delegate
airswap,0x7eeab4f134fcfa6fcaf3987d391f1d626f75f6e1,AirSwap: Deployer
airswap,0xba9ab9710bd461f30c247f4ca2cb7f453c22570e,AirSwap: Indexer
airswap,0x8fd3121013a07c57f0d69646e86e7a4880b467b7,AirSwap: Legacy
airswap,0xebbd58cd1c31c08ef7a17337c264ba502762e993,AirSwap: MultiSig
airswap,0x54d2690e97e477a4b33f40d6e4afdd4832c07c57,AirSwap: Old Contract
airswap,0xa42d613d8b8b6cb9507f46a5dd3fd98276570fd7,AirSwap: Types
airswap,0x28de5c5f56b6216441ee114e832808d5b9d4a775,AirSwap: Wrapper
0x,0xdffe798c7172dd6deb32baee68af322e8f495ce0,0x: Asset Proxy Owner
0x,0x38a795580d0f687e399913a00ddef6a17612c722,0x: Coordinator
0x,0x45797531b873fd5e519477a070a955764c1a5b07,0x: Coordinator Registry
0x,0xa3b2d1087bcebe59d188a23f75620612d967df72,0x: Deployer 1
0x,0x2d7dc2ef7c6f6a2cbc3dba4db97b2ddb40e20713,0x: Deployer 2
0x,0x3b39078f2a3e1512eecc8d6792fdc7f33e1cd2cf,0x: Deployer 3
0x,0xccc2431a7335f21d9268ba62f0b32b0f2efc463f,0x: Dev Utils
0x,0x7eefbd48fd63d441ec7435d024ec7c5131019add,0x: ERC1155 Proxy
0x,0x8ed95d1746bf1e4dab58d8ed4724f1ef95b20db0,0x: Erc20 Bridge Proxy
0x,0x95e6f48254609a6ee006f7d493c8e5fb97094cef,0x: ERC20 Proxy
0x,0xefc70a1b18c432bdc64b596838b4d138f6bc6cad,0x: ERC721 Proxy
0x,0x0ac2d6f5f5afc669d3ca38f830dad2b4f238ad3f,0x: Eth2Dai Bridge
0x,0x12459c951127e0c374ff9105dda097662a027093,0x: Exchange v1
0x,0x080bf510fcbf18b91105470639e9561022937712,0x: Exchange v2.1
0x,0x61935cbdd02287b511119ddb11aeb42f1593b7ef,0x: Exchange v3
0x,0x206376e8940e42538781cd94ef024df3c1e0fd43,0x: Ext Dev Pool
0x,0xa3ac9844514b96bb502627ca9dceb57c4be289e3,0x: Forwarder
0x,0x7d3455421bbc5ed534a83c88fd80387dc8271392,0x: Governor
0x,0xef701d5389ae74503d633396c4d654eabedc9d78,0x: Multi Asset Proxy
0x,0x606af0bd4501855914b50e2672c5926b896737ef,0x: MultiSig 1
0x,0x01d9f4d104668cdc0b6d13c45dff5e15d58d8f28,0x: MultiSig 2
0x,0x17992e4ffb22730138e4b62aaa6367fa9d3699a6,0x: Old Asset Proxy Owner 
0x,0x2240dab907db71e64d3e0dba4800c83b5c502d4e,0x: Old ERC20 Proxy
0x,0x208e41fb445f1bb1b6780d58356e81405f3e6127,0x: Old ERC721 Proxy
0x,0x4f833a24e1f95d70f028921e27040ca56e09ab0b,0x: Old Exchange v2.0
0xuniverse,0x06a6a7af298129e3a2ab396c9c06f91d3c54aba8,0xUniverse Token
0xuniverse,0xe73480759efb6731d133b382ab8df02774e3a265,0xUniverse: Contract 1
0xuniverse,0xf91d60c576fc809bea7a08d45ee3d6d77fbf5ff7,0xUniverse: Contract 2
0xuniverse,0xe658e6eb4b478da2cf36d9e3712ba0c1b33786a1,0xUniverse: Contract 3
0xuniverse,0xa36a81e47d032cb5608175cf884d079ff7b2fb42,0xUniverse: Wallet 1
0xuniverse,0x28fbe46d43ae10f0afe84e393368b891a3de98ea,0xUniverse: Wallet 2
aave,0xfe1a6056ee03235f30f7a48407a5673bbf25ed48,Aave: Deployer
aave,0x80fb784b7ed66730e8b1dbd9820afd29931aab03,Aave: LEND Token
aave,0x398ec7346dcd622edc5ae82352f02be94c62d119,Aave: Lending Pool
aave,0x3dfd23a6c5e8bbcfc9581d2e864a68feb6a076d3,Aave: Lending Pool Core
aave,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,Aave: Lending Pool Provider
allbit,0xdc1882f350b42ac9a23508996254b1915c78b204,Allbit 1
allbit,0xff6b1cdfd2d3e37977d7938aa06b6d89d6675e27,Allbit 2
atomsolutions,0x4804ad002ce301af61af43661c27cb441d4ac1fd,AtomSolutions: CEO
atomsolutions,0x1bda68df5e41aacbc8cf4f355c5bbb7ac0fb53b6,AtomSolutions: Developers Team
atomsolutions,0x112b12089611749406fde450fda9917f7f4ac3cb,AtomSolutions: EternalLive Exchange
atomsolutions,0x49de60e12be091b26a0b9d6b7fc8ccb88c160a3e,AtomSolutions: Funds 1
atomsolutions,0x5dec3b33dcc8dfcbb223e311b090af27afd3cd27,AtomSolutions: Funds 2
